trace_id,step,x,y,heading,speed,action,reward,label
0,0,6.681374549865723,3.5026979446411133,0.0013864416634952192,20.238387613275215,"[0.0313962822373806, -2.1451273539120415]",1.7724472941254612,True
0,1,8.677633285522461,3.531928539276123,0.014833407797578246,18.95567646894508,"[0.06585958069730344, -2.3009102147498264]",2.0815592797669913,True
0,2,10.551023483276367,3.5953991413116455,0.035974379478953544,17.898551050863063,"[0.03594065008254873, -1.7195951315269409]",1.95393367748279,True
0,3,12.318337440490723,3.670219659805298,0.05181419585247227,16.84562190005726,"[-0.0012012529088656053, -1.4419499098258646]",1.8431192557646132,True
0,4,13.979461669921875,3.7434275150299072,0.057814564104530675,15.749084007920228,"[-0.024715401598746564, -1.5085289472972268]",1.7319951074667934,True
0,5,15.548539161682129,3.812188148498535,0.05261487523420527,15.380858463792658,"[-0.03705079697897135, -0.22632326382892765]",1.6382913548473208,True
0,6,17.05791473388672,3.867896318435669,0.03876244282415797,14.223646577915893,"[-0.0448019887675567, -0.7486902674345607]",1.5733819818052113,True
0,7,18.465988159179688,3.899426221847534,0.02357470144354501,13.465488239089975,"[-0.04051725790036818, -0.4988602731850145]",1.4686681223688736,True
0,8,19.807384490966797,3.9084460735321045,0.00855340763106227,13.12533049051961,"[-0.04596208552988455, -0.20781485596078855]",1.4004603189944476,True
0,9,21.115732192993164,3.8954129219055176,-0.00732422562993662,12.897421320810796,"[-0.042421031239623735, -0.13954327192906976]",1.3663860979700158,True
0,10,22.402894973754883,3.865391492843628,-0.021178389094691497,12.766356742506588,"[-0.026173050322507295, -0.08084931677063839]",1.3446113861029985,True
0,11,23.673078536987305,3.825512409210205,-0.03050158343884135,12.501516944704699,"[-0.013962326316167905, -0.1631076127970774]",1.326440389483593,True
0,12,24.91380500793457,3.780959367752075,-0.03575133973765965,12.097970715707685,"[-0.005815713364314709, -0.24835648368882723]",1.2951673391679501,True
0,13,26.124755859375,3.736354351043701,-0.03727040682344107,12.113205566105897,"[0.009343540569437312, 0.05649326532521992]",1.2654602764879062,True
0,14,27.322322845458984,3.6959266662597656,-0.03509380526451977,11.571268336590892,"[0.012727258220610079, -0.333310861766728]",1.2496376935986433,True
0,15,28.476181030273438,3.660763740539551,-0.031841020309096635,11.367119474250591,"[0.008541914499083487, -0.12562058240580543]",1.2050102224485808,True
0,16,29.613840103149414,3.6293420791625977,-0.028707278654399815,11.390787837230633,"[0.012262789211968687, 0.08622264215383164]",1.1889176181435144,True
0,17,30.750015258789062,3.603684663772583,-0.024310399694678964,11.286202786535233,"[0.021893039333044192, -0.06395874167230976]",1.186963068179057,True
0,18,31.88124656677246,3.5854382514953613,-0.018445985816270216,11.383791214595988,"[0.01782006553289593, 0.3537292077790542]",1.1824583684490804,True
0,19,33.00841522216797,3.5714807510375977,-0.013767078097109753,10.936525451817046,"[0.00504504792813093, -0.2752507464733683]",1.1763830199286844,True
0,20,34.095760345458984,3.561317205429077,-0.010378871400257061,10.601446615033376,"[0.019342328327752203, -0.2058180634940327]",1.1350516330586657,True
0,21,35.1480598449707,3.558073043823242,-0.005434047046252388,10.218922633006542,"[0.01853812389827145, -0.23526149795866436]",1.0982846513602482,True
0,22,36.165225982666016,3.559044361114502,-0.0010170612203008744,9.958181628139654,"[0.00777101012470916, -0.16048975547756567]",1.061977955021941,True
0,23,37.16503143310547,3.562119960784912,0.0019229354650915909,10.081233162421634,"[0.010496338595664978, 0.44578964331787124]",1.0451709996703504,True
0,24,38.17466354370117,3.567120313644409,0.004135090224566262,10.165026659019189,"[0.0001874016285959069, 0.30351188128129214]",1.0553747305612895,True
0,25,39.175045013427734,3.5724172592163086,0.005115399821824518,9.50791196458093,"[0.005593640582639541, -0.40429340877458375]",1.0431670735671768,True
0,26,40.12895202636719,3.5781006813049316,0.005779858513799141,9.52898158378349,"[-0.004487985522004301, 0.07662174911722201]",0.9967874300664789,True
0,27,41.08213806152344,3.5829803943634033,0.005493568696615547,9.544947001768666,"[0.0017181772271922455, 0.057849224682892886]",0.9961382966642089,True
0,28,42.03962326049805,3.588045835494995,0.005393833313791951,9.672861062353205,"[-0.003558375858172043, 0.463355540883454]",1.0010130737551988,True
0,29,43.01093292236328,3.59257173538208,0.004965064378289696,9.862350165070938,"[0.0008694746513534472, 0.6862435283233452]",1.0156902376080537,True
0,30,44.00056838989258,3.597299337387085,0.004821653153588734,10.035911760372267,"[-0.002051894674175221, 0.6285506845042541]",1.0347970704509721,True
0,31,44.9971809387207,3.601041555404663,0.004192081871893905,9.774378615884398,"[-0.004824811575293635, -0.16089804911576283]",1.0405972525996048,True
0,32,45.977622985839844,3.604050874710083,0.003465305210410996,9.856224205749147,"[0.0011282627559953081, 0.2964672614699087]",1.0247950560450119,True
0,33,46.9603385925293,3.6065471172332764,0.0028901955730082918,9.748919184294875,"[-0.007940155895186405, -0.0659451724385299]",1.0265857430187801,True
0,34,47.93507385253906,3.607171058654785,0.0015429023775368478,9.724475116111327,"[-0.0023890245695187893, -0.015043162952200373]",1.0184953980322666,True
0,35,48.895774841308594,3.6071064472198486,0.00047191214516217883,9.230927886515227,"[-0.0060594564731468094, -0.30365227077376383]",1.0022401642588499,True
0,36,49.820457458496094,3.6058034896850586,-0.0007053382147077514,9.214704915912192,"[-0.0023209556462418612, -0.009988404320763124]",0.9661487893091049,True
0,37,50.74357986450195,3.6046676635742188,-0.0011395666304450103,9.28055450764523,"[0.0026856135025597706, 0.23855201105997312]",0.9648849012902629,True
0,38,51.67403030395508,3.604050636291504,-0.0009591374665918195,9.391385219356462,"[-0.0006933323826909096, 0.4014083383205364]",0.9727116729402291,True
0,39,52.616825103759766,3.602952718734741,-0.0010832407733900595,9.562147311132353,"[-0.0014495263739109701, 0.6183930309899045]",0.9858244627047831,True
0,40,53.57759094238281,3.60109543800354,-0.001557682921586867,9.780291017376186,"[-0.0038745899580647594, 0.7900628926674522]",1.0047771482012398,True
0,41,54.55841064453125,3.59810209274292,-0.002442251877656787,9.933140584788545,"[-0.00371352037991681, 0.5535511999296724]",1.025518834779986,True
0,42,55.554466247558594,3.5954418182373047,-0.002694053758723669,10.073036098514253,"[0.0072018224643322195, 0.5072135355946216]",1.041384265470658,True
0,43,56.56636428833008,3.5943567752838135,-0.0017875137236611494,10.287756529763783,"[6.222690474807103e-05, 0.7775834461860753]",1.0581929451554215,True
0,44,57.596832275390625,3.5924060344696045,-0.0017900437266966662,10.394243804049935,"[-0.003869301445096921, 0.3857720072107063]",1.0772420841787715,True
0,45,58.63677978515625,3.588749647140503,-0.002793789141547265,10.43405490971416,"[-0.006544473981702385, 0.1443929381495952]",1.0869007568593387,True
0,46,59.676334381103516,3.5829737186431885,-0.004532700175314375,10.280939474125455,"[-0.00785168028997048, -0.09418460001671783]",1.0858188235808302,True
0,47,60.70138931274414,3.5764195919036865,-0.005851763863231163,10.129835532416148,"[0.0033917983723957615, -0.09292015195111825]",1.0706391915364977,True
0,48,61.71537780761719,3.5704996585845947,-0.006008091419218431,10.1471294706849,"[-0.003808075867168619, 0.0628053518700655]",1.059650577491129,True
0,49,62.7304801940918,3.5634496212005615,-0.006633002169005309,10.167047471648974,"[-0.0011094865562650319, 0.07211989558874636]",1.0608541000970297,True
0,50,63.750885009765625,3.556037187576294,-0.007078415861322185,10.32574351813901,"[-0.0017520785590214249, 0.5746691708561456]",1.0668706615054537,True
0,51,64.7837905883789,3.5480964183807373,-0.007497597416899815,10.36717214584991,"[-0.000847919368690133, 0.15003652463822292]",1.079557853269606,True
